Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
GSW,GSW @ LAL,05/12/2023,L,240,101,39,103,37.9,13,48,27.1,10,14,71.4,20,33,53,25,3,2,11,30,-21,2022-23
LAL,LAL vs. GSW,05/12/2023,W,240,122,39,75,52.0,13,26,50.0,31,42,73.8,6,40,46,25,6,6,7,17,21,2022-23
MIA,MIA vs. NYK,05/12/2023,W,240,96,33,82,40.2,7,27,25.9,23,25,92.0,7,33,40,25,8,2,7,22,4,2022-23
NYK,NYK @ MIA,05/12/2023,L,240,92,27,71,38.0,10,35,28.6,28,32,87.5,8,33,41,13,2,9,12,22,-4,2022-23
PHX,PHX vs. DEN,05/11/2023,L,240,100,38,79,48.1,11,28,39.3,13,20,65.0,2,27,29,20,3,5,14,22,-25,2022-23
DEN,DEN @ PHX,05/11/2023,W,240,125,44,82,53.7,8,22,36.4,29,31,93.5,7,34,41,24,10,3,11,22,25,2022-23
BOS,BOS @ PHI,05/11/2023,W,240,95,33,78,42.3,15,35,42.9,14,16,87.5,6,44,50,22,7,6,18,14,9,2022-23
PHI,PHI vs. BOS,05/11/2023,L,240,86,30,83,36.1,8,34,23.5,18,19,94.7,6,32,38,18,14,7,12,13,-9,2022-23
NYK,NYK vs. MIA,05/10/2023,W,240,112,35,71,49.3,13,34,38.2,29,40,72.5,14,36,50,23,6,4,19,19,9,2022-23
MIA,MIA @ NYK,05/10/2023,L,240,103,37,88,42.0,13,43,30.2,16,19,84.2,11,23,34,27,11,4,12,30,-9,2022-23
GSW,GSW vs. LAL,05/10/2023,W,240,121,47,92,51.1,13,35,37.1,14,15,93.3,9,39,48,29,8,5,16,18,15,2022-23
LAL,LAL @ GSW,05/10/2023,L,240,106,42,87,48.3,10,27,37.0,12,15,80.0,7,31,38,24,6,4,14,17,-15,2022-23
PHI,PHI @ BOS,05/09/2023,W,240,115,40,79,50.6,12,30,40.0,23,27,85.2,9,40,49,20,4,5,13,24,12,2022-23
BOS,BOS vs. PHI,05/09/2023,L,240,103,33,83,39.8,12,38,31.6,25,34,73.5,9,27,36,21,4,1,8,16,-12,2022-23
PHX,PHX @ DEN,05/09/2023,L,240,102,38,88,43.2,9,27,33.3,17,24,70.8,8,34,42,22,6,7,10,22,-16,2022-23
DEN,DEN vs. PHX,05/09/2023,W,240,118,42,85,49.4,13,27,48.1,21,28,75.0,10,40,50,32,6,6,10,17,16,2022-23
NYK,NYK @ MIA,05/08/2023,L,240,101,37,76,48.7,9,28,32.1,18,24,75.0,8,27,35,21,5,4,17,23,-8,2022-23
GSW,GSW @ LAL,05/08/2023,L,240,101,40,86,46.5,12,41,29.3,9,12,75.0,9,31,40,29,9,2,16,22,-3,2022-23
LAL,LAL vs. GSW,05/08/2023,W,240,104,39,86,45.3,6,25,24.0,20,20,100,8,34,42,21,8,1,14,15,3,2022-23
MIA,MIA vs. NYK,05/08/2023,W,240,109,40,85,47.1,13,39,33.3,16,22,72.7,13,31,44,28,7,4,13,21,8,2022-23
BOS,BOS @ PHI,05/07/2023,L,265,115,41,87,47.1,17,44,38.6,16,22,72.7,13,31,44,25,3,12,10,21,-1,2022-23
PHI,PHI vs. BOS,05/07/2023,W,265,116,42,91,46.2,13,34,38.2,19,22,86.4,12,32,44,19,9,3,9,23,1,2022-23
PHX,PHX vs. DEN,05/07/2023,W,240,129,46,81,56.8,13,29,44.8,24,29,82.8,12,25,37,28,6,4,13,24,5,2022-23
DEN,DEN @ PHX,05/07/2023,L,240,124,50,89,56.2,7,22,31.8,17,23,73.9,10,22,32,28,6,2,9,19,-5,2022-23
GSW,GSW @ LAL,05/06/2023,L,240,97,36,91,39.6,13,44,29.5,12,17,70.6,14,28,42,26,5,6,19,22,-30,2022-23
NYK,NYK @ MIA,05/06/2023,L,240,86,31,91,34.1,8,40,20.0,16,22,72.7,14,34,48,15,4,3,13,22,-19,2022-23
MIA,MIA vs. NYK,05/06/2023,W,240,105,35,90,38.9,7,32,21.9,28,31,90.3,13,37,50,17,3,5,14,25,19,2022-23
LAL,LAL vs. GSW,05/06/2023,W,240,127,42,80,52.5,15,31,48.4,28,37,75.7,6,38,44,27,10,6,13,21,30,2022-23
