PLAYER,SEASON,TEAM,Cluster,MIN,전체적인 평점,Salary
Isaiah Livers,2022-23,DET,5,23.1,1.902696065463649,1563518.0
Nassir Little,2022-23,POR,1,18.1,1.9877344201464693,4171548.0
Drew Eubanks,2022-23,POR,5,20.3,2.191230198234171,1968175.0
Jock Landale,2022-23,PHX,5,14.2,1.778874506469728,1563518.0
Mo Bamba,2022-23,LAL,0,15.7,1.7905447937889487,10300000.0
Kevin Knox II,2022-23,POR,4,15.1,2.314425378366687,3000000.0
Jordan Goodwin,2022-23,WAS,5,17.8,1.8579668012746984,1280206.0
Isaac Okoro,2022-23,CLE,5,21.7,2.559151888264262,7040880.0
R.J. Hampton,2022-23,DET,1,15.9,1.53528558957798,2412840.0
JaMychal Green,2022-23,GSW,0,14.0,1.5263585424472912,8200000.0
Sam Hauser,2022-23,BOS,5,16.1,2.1134370997763527,1637966.0
Duncan Robinson,2022-23,MIA,5,16.4,1.50033666149254,16902000.0
Simone Fontecchio,2022-23,UTA,4,14.7,1.6004167043605224,3205128.0
Goran Dragic,2022-23,MIL,5,15.0,1.5508542342005889,3523762.0
Patrick Beverley,2022-23,CHI,4,27.1,2.157080104584878,13801614.0
Nickeil Alexander-Walker,2022-23,MIN,1,15.0,2.037361723268212,5009633.0
Nicolas Batum,2022-23,LAC,1,21.9,2.9309511142112474,19700319.0
Oshae Brissett,2022-23,IND,4,16.7,2.224539050446265,1846738.0
Sandro Mamukelashvili,2022-23,SAS,4,15.3,1.6834569168871267,1116112.0
Mike Muscala,2022-23,BOS,1,15.0,1.9816033506806456,3500000.0
Robert Covington,2022-23,LAC,5,16.2,1.685210710897492,12307692.0
Andre Drummond,2022-23,CHI,5,12.7,1.9934850514932223,3200000.0
Jaylin Williams,2022-23,OKC,4,18.7,1.1321171450416077,2000000.0
Josh Christopher,2022-23,HOU,1,12.3,1.4916344462173323,2372160.0
Jalen Johnson,2022-23,ATL,1,14.9,1.673473520466359,2792640.0
Davion Mitchell,2022-23,SAC,5,18.1,2.0614735917032254,4833600.0
Payton Pritchard,2022-23,BOS,5,13.4,1.4949126160287305,2239200.0
Montrezl Harrell,2022-23,PHI,5,11.9,1.3189320193293348,2463490.0
Alex Caruso,2022-23,CHI,5,23.5,2.112181855099521,9030000.0
Yuta Watanabe,2022-23,BKN,4,16.0,2.2529112454383,1968175.0
Wenyen Gabriel,2022-23,LAL,5,15.1,1.83071872393016,1878720.0
Bryce McGowens,2022-23,CHA,5,17.1,1.857857659251883,1461055.0
Lamar Stevens,2022-23,CLE,5,18.1,1.541488527670683,1782621.0
Rudy Gay,2022-23,UTA,5,14.6,1.239923533199843,6184500.0
Zeke Nnaji,2022-23,DEN,0,13.7,1.4106318679029188,2617800.0
Lindy Waters III,2022-23,OKC,0,12.9,1.499909395073454,2316876.0
Darius Bazley,2022-23,PHX,5,14.3,1.3089846726371914,4264628.0
MarJon Beauchamp,2022-23,MIL,0,13.5,1.675119986595626,2485200.0
John Konchar,2022-23,MEM,5,20.7,1.967362125285488,2300000.0
George Hill,2022-23,IND,5,18.1,1.514504006232098,4000000.0
Derrick Jones Jr.,2022-23,CHI,0,14.0,1.4736248399277492,3280000.0
Jaxson Hayes,2022-23,NOP,4,13.0,1.4196604509937394,6803012.0
Isaiah Hartenstein,2022-23,NYK,5,19.9,2.023269005518354,8854879.0
Austin Rivers,2022-23,MIN,5,19.5,1.6191578885256086,2905851.0
Chimezie Metu,2022-23,SAC,0,10.4,1.0898489529427358,1910860.0
Moses Moody,2022-23,GSW,0,13.0,1.4065520575243835,3740160.0
Danuel House Jr.,2022-23,PHI,5,14.4,1.3999648805235372,4105000.0
Garrison Mathews,2022-23,ATL,0,12.7,1.058965484836116,2000000.0
Christian Braun,2022-23,DEN,4,15.5,1.4323314457302525,2808600.0
Day'Ron Sharpe,2022-23,BKN,4,11.5,1.4075915223662478,2109480.0
Dean Wade,2022-23,CLE,4,20.3,1.841255932708874,1930681.0
Malachi Flynn,2022-23,TOR,5,13.0,1.0621292545212655,2145720.0
Davis Bertans,2022-23,DAL,5,10.9,1.0317358465383173,16000000.0
Justin Holiday,2022-23,DAL,4,15.4,1.565113637434493,5987975.0
Thaddeus Young,2022-23,TOR,3,14.7,1.618699193749999,8000000.0
JaVale McGee,2022-23,DAL,3,8.4,1.2081613221481864,5461219.0
Haywood Highsmith,2022-23,MIA,3,18.0,1.1766802221106016,1752638.0
Bismack Biyombo,2022-23,PHX,3,14.3,1.3816580870686108,2905851.0
Ish Wainright,2022-23,PHX,3,15.3,1.3474662036786538,1815677.0
Paul Reed,2022-23,PHI,3,10.9,1.4251222873470732,1782621.0
Blake Griffin,2022-23,BOS,3,13.9,1.0634348905974214,2905851.0
Matisse Thybulle,2022-23,POR,3,16.9,1.7252104011035765,4379526.0
Isaiah Roby,2022-23,NYK,3,11.3,1.1353248193778225,2330681.0
Daishen Nix,2022-23,HOU,3,16.0,1.3228762188042515,1563518.0
Aaron Holiday,2022-23,ATL,3,13.4,1.1562991201474728,1968175.0
Jabari Walker,2022-23,POR,3,11.1,0.9863811195300268,1017781.0
Dyson Daniels,2022-23,NOP,3,17.7,1.3118660153587982,5508600.0
JT Thor,2022-23,CHA,3,14.0,1.0458079385674035,1563518.0
Caleb Houstan,2022-23,ORL,3,15.9,1.010038838058931,2000000.0
Luke Kornet,2022-23,BOS,3,11.7,0.8783253474636642,2133278.0
Jordan McLaughlin,2022-23,MIN,3,15.8,0.6883873638723333,2160000.0
P.J. Tucker,2022-23,PHI,3,25.6,1.175726239480388,10490000.0
Miles McBride,2022-23,NYK,3,11.9,1.430961832849877,1563518.0
Damian Jones,2022-23,UTA,3,11.6,0.6538903029484232,2298385.0
Wesley Matthews,2022-23,MIL,3,15.8,1.074997285130281,2905851.0
Amir Coffey,2022-23,LAC,3,12.5,1.105505244541748,3395062.0
Taj Gibson,2022-23,WAS,3,9.8,0.5642673538371924,2905851.0
Jericho Sims,2022-23,NYK,3,15.6,0.561743928125755,1639842.0
Kai Jones,2022-23,CHA,3,11.9,0.7880063528231382,2909040.0
Anthony Gill,2022-23,WAS,3,10.6,0.8422005559384552,1836090.0
Raul Neto,2022-23,CLE,3,10.5,0.6412103327066161,2463490.0
Christian Koloko,2022-23,TOR,3,13.8,0.9617407546387008,1500000.0
Max Christie,2022-23,LAL,3,12.5,1.0945201162052545,1017781.0
Richaun Holmes,2022-23,SAC,3,8.3,0.5030329049974318,11215260.0
Usman Garuba,2022-23,HOU,3,12.9,1.227603407490122,2471160.0
Juan Toscano-Anderson,2022-23,UTA,2,13.5,0.7124385434914335,2133278.0
Juancho Hernangomez,2022-23,TOR,2,14.6,0.5282389701488913,2298385.0
Frank Ntilikina,2022-23,DAL,3,12.9,0.766423429091265,2036318.0
Ish Smith,2022-23,DEN,3,9.3,0.6394520761055265,4725000.0
Davon Reed,2022-23,LAL,2,8.0,0.4899489790702767,1902133.0
