,PLAYER,SEASON,TEAM,Cluster,MIN
5979,Norman Powell,2019-20,TOR,1,28.4
5980,Bam Adebayo,2019-20,MIA,2,33.6
5981,Tim Hardaway Jr.,2019-20,DAL,1,29.5
5982,Hassan Whiteside,2019-20,POR,3,30.0
5983,Davis Bertans,2019-20,WAS,1,29.3
5984,Carmelo Anthony,2019-20,POR,1,32.8
5985,Serge Ibaka,2019-20,TOR,1,27.0
5986,Kendrick Nunn,2019-20,MIA,1,29.3
5987,JJ Redick,2019-20,NOP,1,26.3
5988,Jordan Clarkson,2019-20,UTA,1,24.0
5989,Bogdan Bogdanovic,2019-20,SAC,1,28.9
5990,Rudy Gobert,2019-20,UTA,1,34.3
5991,Will Barton,2019-20,DEN,1,33.0
5992,Alec Burks,2019-20,PHI,1,26.6
5993,Eric Bledsoe,2019-20,MIL,1,27.0
5994,Jonas Valanciunas,2019-20,MEM,2,26.4
5995,Lauri Markkanen,2019-20,CHI,1,29.8
5996,Terrence Ross,2019-20,ORL,1,27.4
5997,Harrison Barnes,2019-20,SAC,1,34.5
5998,Joe Harris,2019-20,BKN,1,30.8
5999,Aaron Gordon,2019-20,ORL,2,32.5
6000,Mike Conley,2019-20,UTA,1,29.0
6001,RJ Barrett,2019-20,NYK,1,30.4
6002,Eric Paschall,2019-20,GSW,1,27.6
6003,Josh Richardson,2019-20,PHI,1,30.8
6004,Rui Hachimura,2019-20,WAS,1,30.1
6005,Tyler Herro,2019-20,MIA,1,27.4
6006,Duncan Robinson,2019-20,MIA,1,29.7
6007,Thomas Bryant,2019-20,WAS,1,24.9
6008,Coby White,2019-20,CHI,1,25.8
6009,Christian Wood,2019-20,DET,3,21.4
6010,Ricky Rubio,2019-20,PHX,2,31.0
6011,Miles Bridges,2019-20,CHA,0,30.7
6012,Marcus Smart,2019-20,BOS,1,32.0
6013,Kyle Kuzma,2019-20,LAL,1,25.0
6014,Damion Lee,2019-20,GSW,1,29.0
6015,Jeremy Lamb,2019-20,IND,1,28.1
6016,Robert Covington,2019-20,HOU,1,30.5
6017,Seth Curry,2019-20,DAL,0,24.6
6018,De'Andre Hunter,2019-20,ATL,1,32.0
6019,Darius Garland,2019-20,CLE,1,30.9
6020,Richaun Holmes,2019-20,SAC,3,28.2
6021,P.J. Washington,2019-20,CHA,1,30.3
6022,Kevin Huerter,2019-20,ATL,1,31.4
6023,Markelle Fultz,2019-20,ORL,2,27.7
6024,Myles Turner,2019-20,IND,1,29.4
6025,Taurean Prince,2019-20,BKN,1,29.0
6026,Brandon Clarke,2019-20,MEM,0,22.4
6027,Tristan Thompson,2019-20,CLE,3,30.2
6028,Jerami Grant,2019-20,DEN,1,26.6
6029,Brook Lopez,2019-20,MIL,1,26.7
6030,Al Horford,2019-20,PHI,1,30.2
6031,Lonzo Ball,2019-20,NOP,2,32.1
6032,Glenn Robinson III,2019-20,PHI,0,28.8
6033,Patty Mills,2019-20,SAS,0,22.5
6034,Paul Millsap,2019-20,DEN,1,24.3
6035,Nemanja Bjelica,2019-20,SAC,1,27.9
6036,Aron Baynes,2019-20,PHX,1,22.2
6037,Wendell Carter Jr.,2019-20,CHI,1,29.2
6038,Derrick White,2019-20,SAS,1,24.7
6039,Bryn Forbes,2019-20,SAS,0,25.1
6040,Malik Beasley,2019-20,MIN,0,22.0
6041,Jarrett Allen,2019-20,BKN,3,26.5
6042,Cody Zeller,2019-20,CHA,3,23.1
6043,Cedi Osman,2019-20,CLE,0,29.4
6044,Dejounte Murray,2019-20,SAS,0,25.6
6045,Ish Smith,2019-20,WAS,1,26.3
6046,Jeff Teague,2019-20,ATL,1,24.8
6047,Steven Adams,2019-20,OKC,1,26.7
6048,Rudy Gay,2019-20,SAS,1,21.8
6049,Dario Saric,2019-20,PHX,1,24.7
6050,OG Anunoby,2019-20,TOR,1,29.9
6051,Jae Crowder,2019-20,MIA,0,28.8
6052,Cam Reddish,2019-20,ATL,1,26.7
6053,D.J. Augustin,2019-20,ORL,1,24.9
6054,Danuel House Jr.,2019-20,HOU,1,30.4
6055,Troy Brown Jr.,2019-20,WAS,0,25.8
6056,Gary Harris,2019-20,DEN,1,31.8
6057,Garrett Temple,2019-20,BKN,0,27.9
6058,Shabazz Napier,2019-20,WAS,2,24.0
6059,Thaddeus Young,2019-20,CHI,0,24.9
6060,Doug McDermott,2019-20,IND,0,19.9
6061,Langston Galloway,2019-20,DET,0,25.8
6062,Malik Monk,2019-20,CHA,0,21.3
6063,Bobby Portis,2019-20,NYK,0,21.1
6064,Josh Hart,2019-20,NOP,0,27.0
6065,Larry Nance Jr.,2019-20,CLE,0,26.3
6066,Ben McLemore,2019-20,HOU,0,22.8
6067,Elfrid Payton,2019-20,NYK,2,27.7
6068,Kevin Porter Jr.,2019-20,CLE,1,23.2
6069,Tomas Satoransky,2019-20,CHI,1,28.9
6070,Joe Ingles,2019-20,UTA,1,29.7
6071,Furkan Korkmaz,2019-20,PHI,0,21.7
6072,Mitchell Robinson,2019-20,NYK,3,23.2
6073,Markieff Morris,2019-20,LAL,0,20.5
6074,Dorian Finney-Smith,2019-20,DAL,1,29.9
6075,Aaron Holiday,2019-20,IND,1,24.5
6076,Jeff Green,2019-20,HOU,0,20.0
6077,George Hill,2019-20,MIL,0,21.5
6078,Kentavious Caldwell-Pope,2019-20,LAL,0,25.5
6079,Michael Porter Jr.,2019-20,DEN,0,16.4
6080,Marquese Chriss,2019-20,GSW,3,20.3
6081,Landry Shamet,2019-20,LAC,1,27.4
6082,Daniel Theis,2019-20,BOS,3,24.1
6083,Donte DiVincenzo,2019-20,MIL,1,23.0
6084,Jarrett Culver,2019-20,MIN,0,23.9
6085,Mikal Bridges,2019-20,PHX,1,28.0
6086,Maxi Kleber,2019-20,DAL,0,25.5
6087,Monte Morris,2019-20,DEN,0,22.4
6088,Derrick Favors,2019-20,NOP,3,24.4
6089,Svi Mykhailiuk,2019-20,DET,0,22.6
6090,Bruce Brown,2019-20,DET,0,28.2
6091,Gary Trent Jr.,2019-20,POR,0,21.8
6092,Cameron Johnson,2019-20,PHX,0,22.0
6093,Jordan Poole,2019-20,GSW,0,22.3
6094,Kent Bazemore,2019-20,SAC,1,24.8
6095,Austin Rivers,2019-20,HOU,0,23.4
6096,Moritz Wagner,2019-20,WAS,0,18.6
6097,Avery Bradley,2019-20,LAL,0,24.2
6098,Josh Okogie,2019-20,MIN,0,25.0
6099,Derrick Jones Jr.,2019-20,MIA,0,23.3
6100,E'Twaun Moore,2019-20,NOP,0,18.2
6101,DeAndre Jordan,2019-20,BKN,3,22.0
6102,Ivica Zubac,2019-20,LAC,3,18.4
6103,Anfernee Simons,2019-20,POR,0,20.7
6104,Justin Holiday,2019-20,IND,0,25.0
6105,Kelly Olynyk,2019-20,MIA,1,19.4
6106,Jalen Brunson,2019-20,DAL,0,17.9
6107,Enes Freedom,2019-20,BOS,3,17.0
6108,Danny Green,2019-20,LAL,1,24.8
6109,Tony Snell,2019-20,DET,0,27.8
6110,Draymond Green,2019-20,GSW,2,28.4
6111,Trevor Ariza,2019-20,POR,1,28.2
6112,Alex Len,2019-20,SAC,3,17.6
6113,Patrick Beverley,2019-20,LAC,1,26.3
6114,Timothe Luwawu-Cabarrot,2019-20,BKN,0,18.1
6115,De'Anthony Melton,2019-20,MEM,1,19.5
6116,Omari Spellman,2019-20,MIN,0,18.1
6117,Terence Davis,2019-20,TOR,0,16.8
6118,Marc Gasol,2019-20,TOR,1,26.4
6119,Dwight Howard,2019-20,LAL,3,18.9
6120,Tyus Jones,2019-20,MEM,0,19.0
6121,Ky Bowman,2019-20,GSW,1,22.6
6122,Bismack Biyombo,2019-20,CHA,3,19.4
6123,Jaxson Hayes,2019-20,NOP,3,16.9
6124,Wesley Matthews,2019-20,MIL,0,24.4
6125,Gorgui Dieng,2019-20,MEM,3,17.4
6126,Nerlens Noel,2019-20,OKC,3,18.5
6127,Emmanuel Mudiay,2019-20,UTA,0,15.7
6128,Kris Dunn,2019-20,CHI,1,24.9
6129,Willie Cauley-Stein,2019-20,DAL,3,20.3
6130,Michael Carter-Williams,2019-20,ORL,0,18.5
6131,Mason Plumlee,2019-20,DEN,3,17.3
6132,Rajon Rondo,2019-20,LAL,1,20.5
6133,Rondae Hollis-Jefferson,2019-20,TOR,3,18.7
6134,P.J. Tucker,2019-20,HOU,1,34.3
6135,Hamidou Diallo,2019-20,OKC,3,19.5
6136,Delon Wright,2019-20,DAL,0,21.5
6137,Harry Giles III,2019-20,SAC,3,14.5
6138,Brad Wanamaker,2019-20,BOS,1,19.3
6139,JaMychal Green,2019-20,LAC,0,20.7
6140,Damyean Dotson,2019-20,NYK,0,17.4
6141,Kyle Korver,2019-20,MIL,0,16.6
6142,Chris Boucher,2019-20,TOR,3,13.2
6143,Nicolo Melli,2019-20,NOP,0,17.4
6144,James Ennis III,2019-20,ORL,0,18.3
6145,Ersan Ilyasova,2019-20,MIL,0,15.7
6146,Boban Marjanovic,2019-20,DAL,0,9.6
6147,JaVale McGee,2019-20,LAL,3,16.6
6148,Keita Bates-Diop,2019-20,DEN,0,16.9
6149,T.J. McConnell,2019-20,IND,0,18.7
6150,Kevin Knox II,2019-20,NYK,0,17.9
6151,Trey Lyles,2019-20,SAS,0,20.2
6152,Lonnie Walker IV,2019-20,SAS,0,16.2
6153,Cory Joseph,2019-20,SAC,0,24.4
6154,Royce O'Neale,2019-20,UTA,1,28.9
6155,Marco Belinelli,2019-20,SAS,0,15.5
6156,Frank Jackson,2019-20,NOP,0,13.5
6157,Abdel Nader,2019-20,OKC,0,15.8
6158,Frank Ntilikina,2019-20,NYK,0,20.8
6159,Taj Gibson,2019-20,NYK,3,16.5
6160,Meyers Leonard,2019-20,MIA,0,20.3
6161,Juancho Hernangomez,2019-20,MIN,0,17.4
6162,Mike Scott,2019-20,PHI,0,17.8
6163,Georges Niang,2019-20,UTA,0,14.0
6164,Marvin Williams,2019-20,MIL,0,19.5
6165,Kyle Anderson,2019-20,MEM,0,19.8
6166,Dewayne Dedmon,2019-20,ATL,0,17.6
6167,DeAndre' Bembry,2019-20,ATL,0,21.3
6168,Wes Iwundu,2019-20,ORL,0,18.3
6169,Maurice Harkless,2019-20,NYK,0,23.0
6170,Nickeil Alexander-Walker,2019-20,NOP,0,12.6
6171,Jakob Poeltl,2019-20,SAS,3,17.7
6172,Darius Bazley,2019-20,OKC,0,18.5
6173,Damian Jones,2019-20,ATL,3,16.1
6174,Justin Jackson,2019-20,DAL,0,16.1
6175,Solomon Hill,2019-20,MIA,0,18.4
6176,Alex Caruso,2019-20,LAL,0,18.4
6177,Torrey Craig,2019-20,DEN,0,18.5
6178,Robin Lopez,2019-20,MIL,0,14.5
6179,Pat Connaughton,2019-20,MIL,0,18.6
6180,Mo Bamba,2019-20,ORL,0,14.2
6181,Daniel Gafford,2019-20,CHI,0,14.2
6182,Sterling Brown,2019-20,MIL,0,14.7
6183,Raul Neto,2019-20,PHI,0,12.4
6184,Quinn Cook,2019-20,LAL,0,11.5
6185,Jerome Robinson,2019-20,WAS,0,15.5
6186,Isaac Bonga,2019-20,WAS,0,18.9
6187,Vince Carter,2019-20,ATL,0,14.6
6188,Cody Martin,2019-20,CHA,0,18.8
6189,Patrick Patterson,2019-20,LAC,0,13.2
6190,Jevon Carter,2019-20,PHX,0,16.3
6191,Matt Thomas,2019-20,TOR,0,10.7
6192,Tony Bradley,2019-20,UTA,0,11.4
6193,Shaquille Harrison,2019-20,CHI,0,11.3
6194,Mario Hezonja,2019-20,POR,0,16.4
6195,Mike Muscala,2019-20,OKC,0,12.2
6196,Matisse Thybulle,2019-20,PHI,0,19.8
6197,Thon Maker,2019-20,DET,0,12.9
6198,Cheick Diallo,2019-20,PHX,0,10.2
6199,Rodions Kurucs,2019-20,BKN,0,14.5
6200,Ryan Arcidiacono,2019-20,CHI,0,16.0
6201,Treveon Graham,2019-20,ATL,0,16.9
6202,Khem Birch,2019-20,ORL,3,19.2
6203,Yogi Ferrell,2019-20,SAC,0,10.6
6204,Bruno Fernando,2019-20,ATL,0,12.7
6205,Troy Daniels,2019-20,DEN,0,11.3
6206,Elie Okobo,2019-20,PHX,0,13.1
6207,Marko Guduric,2019-20,MEM,0,11.0
6208,Terrance Ferguson,2019-20,OKC,0,22.5
6209,Gary Clark,2019-20,ORL,0,13.5
6210,Anthony Tolliver,2019-20,MEM,0,15.9
6211,Nassir Little,2019-20,POR,0,11.9
6212,Grant Williams,2019-20,BOS,0,15.1
6213,Semi Ojeleye,2019-20,BOS,0,14.6
6214,Javonte Green,2019-20,BOS,0,9.7
6215,Rodney McGruder,2019-20,LAC,0,15.6
6216,Goga Bitadze,2019-20,IND,0,8.7
6217,Matthew Dellavedova,2019-20,CLE,0,14.4
6218,Chris Silva,2019-20,MIA,0,7.9
6219,Terance Mann,2019-20,LAC,0,8.8
6220,Thabo Sefolosha,2019-20,HOU,0,10.6
6221,Jared Dudley,2019-20,LAL,0,8.1
6222,Stephen Curry,2020-21,GSW,1,34.2
6223,Bradley Beal,2020-21,WAS,1,35.8
6224,Damian Lillard,2020-21,POR,1,35.8
6225,Joel Embiid,2020-21,PHI,1,31.1
6226,Giannis Antetokounmpo,2020-21,MIL,2,33.0
6227,Luka Doncic,2020-21,DAL,2,34.3
6228,Zach LaVine,2020-21,CHI,1,35.1
6229,Zion Williamson,2020-21,NOP,1,33.2
6230,Kyrie Irving,2020-21,BKN,1,34.9
6231,Jayson Tatum,2020-21,BOS,2,35.8
6232,Donovan Mitchell,2020-21,UTA,1,33.4
6233,Nikola Jokic,2020-21,DEN,2,34.6
6234,Devin Booker,2020-21,PHX,1,33.9
6235,Trae Young,2020-21,ATL,1,33.7
6236,De'Aaron Fox,2020-21,SAC,1,35.1
6237,LeBron James,2020-21,LAL,2,33.4
6238,Kawhi Leonard,2020-21,LAC,1,34.1
6239,Karl-Anthony Towns,2020-21,MIN,1,33.8
6240,Jaylen Brown,2020-21,BOS,1,34.5
6241,James Harden,2020-21,BKN,2,36.6
6242,Collin Sexton,2020-21,CLE,1,35.3
6243,Julius Randle,2020-21,NYK,2,37.6
6244,Brandon Ingram,2020-21,NOP,1,34.3
6245,Nikola Vucevic,2020-21,CHI,2,33.5
6246,Paul George,2020-21,LAC,1,33.7
6247,CJ McCollum,2020-21,POR,1,34.0
6248,Jerami Grant,2020-21,DET,1,33.9
6249,Russell Westbrook,2020-21,WAS,2,36.4
6250,DeMar DeRozan,2020-21,SAS,1,33.7
6251,Jimmy Butler,2020-21,MIA,2,33.6
6252,Pascal Siakam,2020-21,TOR,2,35.8
6253,Jamal Murray,2020-21,DEN,1,35.5
6254,Malcolm Brogdon,2020-21,IND,1,34.5
6255,Christian Wood,2020-21,HOU,1,32.3
6256,Terry Rozier,2020-21,CHA,1,34.5
6257,Khris Middleton,2020-21,MIL,1,33.4
6258,Domantas Sabonis,2020-21,IND,2,36.0
6259,Caris LeVert,2020-21,IND,1,31.6
6260,Kristaps Porzingis,2020-21,DAL,1,30.9
6261,Gordon Hayward,2020-21,CHA,1,34.0
6262,Fred VanVleet,2020-21,TOR,1,36.5
6263,Tobias Harris,2020-21,PHI,1,32.5
6264,Anthony Edwards,2020-21,MIN,1,32.1
6265,Kemba Walker,2020-21,OKC,1,31.8
6266,Ja Morant,2020-21,MEM,2,32.6
6267,Michael Porter Jr.,2020-21,DEN,1,31.3
6268,D'Angelo Russell,2020-21,MIN,1,28.5
6269,Bam Adebayo,2020-21,MIA,2,33.5
6270,Norman Powell,2020-21,POR,1,32.0
6271,Andrew Wiggins,2020-21,GSW,1,33.3
6272,Jordan Clarkson,2020-21,UTA,1,26.7
6273,Jrue Holiday,2020-21,MIL,1,32.3
6274,John Collins,2020-21,ATL,1,29.3
6275,RJ Barrett,2020-21,NYK,1,34.9
6276,Darius Garland,2020-21,CLE,1,33.1
6277,Kyle Lowry,2020-21,TOR,2,34.8
6278,Dillon Brooks,2020-21,MEM,1,29.8
6279,Evan Fournier,2020-21,BOS,1,30.0
6280,Jonas Valanciunas,2020-21,MEM,1,28.3
6281,Bojan Bogdanovic,2020-21,UTA,1,30.8
6282,Tim Hardaway Jr.,2020-21,DAL,1,28.4
6283,Buddy Hield,2020-21,SAC,1,34.3
6284,Chris Paul,2020-21,PHX,2,31.4
6285,Bogdan Bogdanovic,2020-21,ATL,1,29.7
6286,Mike Conley,2020-21,UTA,1,29.4
6287,Harrison Barnes,2020-21,SAC,1,36.2
6288,OG Anunoby,2020-21,TOR,1,33.3
6289,LaMelo Ball,2020-21,CHA,2,28.8
6290,Dejounte Murray,2020-21,SAS,2,31.9
6291,Terrence Ross,2020-21,ORL,1,29.3
6292,Kelly Oubre Jr.,2020-21,GSW,1,30.7
6293,Dennis Schroder,2020-21,LAL,1,32.1
6294,Gary Trent Jr.,2020-21,TOR,1,31.1
6295,Clint Capela,2020-21,ATL,2,30.1
6296,Tyler Herro,2020-21,MIA,1,30.3
6297,Coby White,2020-21,CHI,1,31.2
6298,Andre Drummond,2020-21,LAL,1,27.0
6299,Devonte' Graham,2020-21,CHA,1,30.2
6300,Derrick Rose,2020-21,NYK,1,25.6
6301,Lonzo Ball,2020-21,NOP,2,31.8
6302,Kendrick Nunn,2020-21,MIA,1,29.5
6303,Deandre Ayton,2020-21,PHX,1,30.6
6304,Rudy Gobert,2020-21,UTA,1,30.8
6305,Ben Simmons,2020-21,PHI,2,32.4
6306,Richaun Holmes,2020-21,SAC,3,29.2
6307,Marvin Bagley III,2020-21,SAC,1,25.9
6308,Joe Harris,2020-21,BKN,1,31.0
6309,Luguentz Dort,2020-21,OKC,1,29.7
6310,Rui Hachimura,2020-21,WAS,1,31.5
6311,Darius Bazley,2020-21,OKC,0,31.2
6312,Chris Boucher,2020-21,TOR,1,24.2
6313,Lauri Markkanen,2020-21,CHI,1,25.8
6314,Doug McDermott,2020-21,IND,0,24.5
6315,Kelly Olynyk,2020-21,HOU,1,28.5
6316,Montrezl Harrell,2020-21,LAL,3,22.9
6317,Mikal Bridges,2020-21,PHX,1,32.6
6318,Goran Dragic,2020-21,MIA,1,26.7
6319,Marcus Morris Sr.,2020-21,LAC,1,26.3
6320,Carmelo Anthony,2020-21,POR,1,24.5
6321,Josh Jackson,2020-21,DET,1,25.2
6322,Danilo Gallinari,2020-21,ATL,1,24.0
6323,Duncan Robinson,2020-21,MIA,0,31.4
6324,Marcus Smart,2020-21,BOS,1,32.9
6325,Tyrese Haliburton,2020-21,SAC,1,30.1
6326,Shake Milton,2020-21,PHI,1,23.2
6327,P.J. Washington,2020-21,CHA,1,30.5
6328,Cole Anthony,2020-21,ORL,1,27.1
6329,Kyle Kuzma,2020-21,LAL,1,28.7
6330,Jarrett Allen,2020-21,CLE,3,29.6
6331,Keldon Johnson,2020-21,SAS,1,28.5
6332,Miles Bridges,2020-21,CHA,1,29.3
6333,Alec Burks,2020-21,NYK,1,25.6
6334,Will Barton,2020-21,DEN,1,31.0
6335,Jalen Brunson,2020-21,DAL,0,25.0
6336,Myles Turner,2020-21,IND,1,31.0
6337,Seth Curry,2020-21,PHI,1,28.7
6338,Kyle Anderson,2020-21,MEM,1,27.4
6339,Aaron Gordon,2020-21,DEN,2,27.7
6340,Brook Lopez,2020-21,MIL,1,27.2
6341,Saddiq Bey,2020-21,DET,1,27.3
6342,Eric Bledsoe,2020-21,NOP,1,29.7
6343,Josh Richardson,2020-21,DAL,1,30.3
6344,Thaddeus Young,2020-21,CHI,1,24.3
6345,Joe Ingles,2020-21,UTA,1,27.9
6346,Jordan Poole,2020-21,GSW,0,19.4
6347,Kevin Huerter,2020-21,ATL,1,30.8
6348,Malik Monk,2020-21,CHA,0,20.9
6349,Hamidou Diallo,2020-21,DET,0,23.6
6350,Davis Bertans,2020-21,WAS,0,25.7
6351,Bobby Portis,2020-21,MIL,1,20.8
6352,Immanuel Quickley,2020-21,NYK,0,19.4
6353,Rudy Gay,2020-21,SAS,1,21.6
6354,Lou Williams,2020-21,ATL,1,21.6
6355,Jae'Sean Tate,2020-21,HOU,1,29.2
6356,Wendell Carter Jr.,2020-21,ORL,3,25.5
6357,Naz Reid,2020-21,MIN,0,19.2
6358,Enes Freedom,2020-21,POR,3,24.4
6359,Lonnie Walker IV,2020-21,SAS,0,25.4
6360,Serge Ibaka,2020-21,LAC,0,23.3
6361,Nickeil Alexander-Walker,2020-21,NOP,0,21.9
6362,Jeff Green,2020-21,BKN,1,27.0
6363,Blake Griffin,2020-21,BKN,1,25.8
6364,Dwayne Bacon,2020-21,ORL,1,25.7
6365,Reggie Bullock Jr.,2020-21,NYK,0,30.0
6366,Patty Mills,2020-21,SAS,0,24.8
6367,Reggie Jackson,2020-21,LAC,0,23.0
6368,Grayson Allen,2020-21,MEM,1,25.2
6369,Justin Holiday,2020-21,IND,0,30.3
6370,Donte DiVincenzo,2020-21,MIL,1,27.5
6371,Cedi Osman,2020-21,CLE,0,25.6
6372,Mason Plumlee,2020-21,DET,2,26.8
6373,Brandon Clarke,2020-21,MEM,0,24.0
6374,Delon Wright,2020-21,SAC,1,27.7
6375,Monte Morris,2020-21,DEN,0,25.5
6376,Elfrid Payton,2020-21,NYK,1,23.6
6377,Theo Maledon,2020-21,OKC,1,27.3
6378,Jae Crowder,2020-21,PHX,1,27.5
6379,Bryn Forbes,2020-21,MIL,0,19.3
6380,Dorian Finney-Smith,2020-21,DAL,1,32.0
6381,Kentavious Caldwell-Pope,2020-21,LAL,1,28.4
6382,Daniel Theis,2020-21,CHI,0,24.6
6383,Isaac Okoro,2020-21,CLE,1,32.4
6384,Wayne Ellington,2020-21,DET,0,22.0
6385,Cameron Johnson,2020-21,PHX,0,24.0
6386,Taurean Prince,2020-21,CLE,0,22.1
6387,Danny Green,2020-21,PHI,1,28.0
6388,Cody Zeller,2020-21,CHA,3,20.9
6389,KJ Martin,2020-21,HOU,0,23.7
6390,Landry Shamet,2020-21,BKN,0,23.0
6391,Josh Hart,2020-21,NOP,1,28.7
6392,Patrick Williams,2020-21,CHI,0,27.9
6393,Desmond Bane,2020-21,MEM,0,22.3
6394,Furkan Korkmaz,2020-21,PHI,0,19.3
6395,De'Anthony Melton,2020-21,MEM,1,20.1
6396,Robin Lopez,2020-21,WAS,3,19.1
6397,Ivica Zubac,2020-21,LAC,3,22.3
6398,Jaylen Nowell,2020-21,MIN,0,18.1
6399,Talen Horton-Tucker,2020-21,LAL,1,20.1
6400,Paul Millsap,2020-21,DEN,1,20.8
6401,DeMarcus Cousins,2020-21,LAC,0,17.4
6402,Bruce Brown,2020-21,BKN,3,22.3
6403,Dario Saric,2020-21,PHX,1,17.4
6404,Isaiah Roby,2020-21,OKC,0,23.4
6405,Terence Davis,2020-21,SAC,0,17.6
6406,Raul Neto,2020-21,WAS,0,21.9
6407,T.J. McConnell,2020-21,IND,2,26.0
6408,Moses Brown,2020-21,BOS,3,21.4
6409,Jakob Poeltl,2020-21,SAS,3,26.7
6410,Ricky Rubio,2020-21,MIN,1,26.1
6411,Robert Covington,2020-21,POR,1,32.0
6412,Svi Mykhailiuk,2020-21,OKC,0,20.1
6413,Cameron Payne,2020-21,PHX,0,18.0
6414,James Ennis III,2020-21,ORL,0,24.1
6415,Luke Kennard,2020-21,LAC,0,19.6
6416,Cory Joseph,2020-21,DET,1,23.0
6417,Sterling Brown,2020-21,HOU,0,24.1
6418,Aleksej Pokusevski,2020-21,OKC,0,24.2
6419,JaMychal Green,2020-21,DEN,0,19.3
6420,Nicolas Batum,2020-21,LAC,1,27.4
6421,Robert Williams III,2020-21,BOS,3,18.9
6422,Tyrese Maxey,2020-21,PHI,0,15.3
6423,Mo Bamba,2020-21,ORL,0,15.8
6424,Kenrich Williams,2020-21,OKC,0,21.6
6425,Isaiah Stewart,2020-21,DET,3,21.4
6426,Anfernee Simons,2020-21,POR,0,17.3
6427,Willy Hernangomez,2020-21,NOP,3,18.0
6428,Chuma Okeke,2020-21,ORL,0,25.2
6429,Payton Pritchard,2020-21,BOS,0,19.2
6430,Tomas Satoransky,2020-21,CHI,0,22.5
6431,PJ Dozier,2020-21,DEN,1,21.8
6432,D.J. Augustin,2020-21,HOU,0,19.8
6433,Ben McLemore,2020-21,LAL,0,17.1
6434,Tristan Thompson,2020-21,BOS,3,23.8
6435,Garrett Temple,2020-21,CHI,1,27.3
6436,Steven Adams,2020-21,NOP,2,27.7
6437,Edmond Sumner,2020-21,IND,0,16.2
6438,Malachi Flynn,2020-21,TOR,0,19.7
6439,Jaxson Hayes,2020-21,NOP,3,16.1
6440,DeAndre Jordan,2020-21,BKN,3,21.9
6441,JJ Redick,2020-21,DAL,0,16.4
6442,Jalen McDaniels,2020-21,CHA,0,19.2
6443,JaVale McGee,2020-21,DEN,3,14.7
6444,James Johnson,2020-21,NOP,0,20.5
6445,Juancho Hernangomez,2020-21,MIN,0,17.3
6446,Aaron Holiday,2020-21,IND,0,17.8
6447,Khem Birch,2020-21,TOR,3,22.8
6448,Kent Bazemore,2020-21,GSW,1,19.9
6449,Tony Bradley,2020-21,OKC,3,16.3
6450,Maxi Kleber,2020-21,DAL,0,26.8
6451,Draymond Green,2020-21,GSW,2,31.5
6452,Terance Mann,2020-21,LAC,0,18.9
6453,Daniel Gafford,2020-21,WAS,3,14.7
6454,Royce O'Neale,2020-21,UTA,1,31.6
6455,Dwight Howard,2020-21,PHI,3,17.3
6456,Georges Niang,2020-21,UTA,0,16.0
6457,R.J. Hampton,2020-21,ORL,0,17.4
6458,Moritz Wagner,2020-21,ORL,0,16.0
6459,Derrick Jones Jr.,2020-21,POR,0,22.7
6460,Pat Connaughton,2020-21,MIL,0,22.8
6461,Jaden McDaniels,2020-21,MIN,0,24.0
6462,Jeff Teague,2020-21,MIL,0,17.3
6463,Ish Smith,2020-21,WAS,0,21.0
6464,Damyean Dotson,2020-21,CLE,0,19.7
6465,Markieff Morris,2020-21,LAL,0,19.7
6466,Trey Burke,2020-21,DAL,0,14.7
6467,Xavier Tillman,2020-21,MEM,3,18.4
6468,Alex Len,2020-21,WAS,3,15.3
6469,Frank Kaminsky,2020-21,PHX,0,15.2
6470,Denzel Valentine,2020-21,CHI,0,16.7
6471,Damion Lee,2020-21,GSW,0,18.9
6472,Chasson Randle,2020-21,ORL,1,20.4
6473,Alex Caruso,2020-21,LAL,0,21.0
6474,Timothe Luwawu-Cabarrot,2020-21,BKN,0,18.1
6475,Kira Lewis Jr.,2020-21,NOP,0,16.7
6476,Deni Avdija,2020-21,WAS,0,23.3
6477,Tyus Jones,2020-21,MEM,0,17.5
6478,Aron Baynes,2020-21,TOR,0,18.5
6479,Facundo Campazzo,2020-21,DEN,0,21.9
6480,Dean Wade,2020-21,CLE,0,19.2
6481,Dwight Powell,2020-21,DAL,0,16.6
6482,Drew Eubanks,2020-21,SAS,3,14.0
6483,DeAndre' Bembry,2020-21,TOR,0,19.1
6484,Juan Toscano-Anderson,2020-21,GSW,1,20.9
6485,Mychal Mulder,2020-21,GSW,0,12.8
6486,Saben Lee,2020-21,DET,0,16.3
6487,Garrison Mathews,2020-21,WAS,0,16.2
6488,Brad Wanamaker,2020-21,CHA,0,17.3
6489,Devin Vassell,2020-21,SAS,0,17.0
6490,Torrey Craig,2020-21,PHX,0,16.1
6491,Derrick Favors,2020-21,UTA,3,15.3
6492,Rajon Rondo,2020-21,LAC,0,17.1
6493,Jarred Vanderbilt,2020-21,MIN,3,17.8
6494,Josh Okogie,2020-21,MIN,0,20.3
6495,Taj Gibson,2020-21,NYK,3,20.8
6496,Tony Snell,2020-21,ATL,0,21.1
6497,Willie Cauley-Stein,2020-21,DAL,0,17.1
6498,Goga Bitadze,2020-21,IND,0,12.5
6499,Jake Layman,2020-21,MIN,0,13.9
6500,Isaiah Hartenstein,2020-21,CLE,3,12.1
6501,Sekou Doumbouya,2020-21,DET,0,15.5
